model,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,peak_f1_mean,peak_f1_std,train_time_seconds_mean
CART Regression Tree,89.91940115919452,29.76539715823371,57.92307285467191,20.909968187067076,0.6809087526151585,0.18718679232338262,0.816815281797221,0.04807685617838497,0.35840641999966466
Gradient Boosting Trees,107.71009792308273,39.46488763812558,67.63555912851461,26.213600866898666,0.5583878902418189,0.22768184147850354,0.8290275787889956,0.05762386072594635,2.853963419998763
KNN Regression,93.71291867313471,17.278181523155865,60.711333672688625,11.401499004869423,0.6528561077945163,0.11383192789329122,0.7989368945275441,0.10905636704333466,8.859997615218163e-06
Ridge Linear Regression GD,423.11808932289404,288.5126097427862,173.00868968110177,105.2360985302303,-6.92795571964791,7.888863617390141,0.8056138946894084,0.08111150307278216,0.4722454800095875
